community_board,complaint_type,count,date,ingested_at
01 STATEN ISLAND,Street Light Condition,57,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
02 MANHATTAN,Encampment,56,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 BROOKLYN,Noise - Street/Sidewalk,56,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
04 BRONX,UNSANITARY CONDITION,56,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 BRONX,Illegal Parking,56,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
06 BRONX,Illegal Parking,55,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
07 MANHATTAN,Encampment,55,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
06 BRONX,UNSANITARY CONDITION,55,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
11 MANHATTAN,Illegal Parking,55,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
04 BRONX,WATER LEAK,55,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
13 BROOKLYN,Noise - Residential,54,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 STATEN ISLAND,Illegal Parking,53,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 BRONX,Noise - Street/Sidewalk,53,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
12 QUEENS,Abandoned Vehicle,53,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
07 MANHATTAN,Noise - Street/Sidewalk,53,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
11 BRONX,Blocked Driveway,52,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
02 STATEN ISLAND,Street Light Condition,52,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
06 MANHATTAN,Encampment,51,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
05 QUEENS,Abandoned Vehicle,51,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
17 BROOKLYN,UNSANITARY CONDITION,51,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
09 MANHATTAN,Noise - Residential,50,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 QUEENS,Noise - Commercial,50,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
10 QUEENS,Abandoned Vehicle,49,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
05 BRONX,UNSANITARY CONDITION,49,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
16 BROOKLYN,Noise - Residential,49,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
02 STATEN ISLAND,Illegal Parking,48,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
